Sample DMT-916-170112-MOSAIC.  Mon Jan 16 12:51:21 PST 2017

Apparent R'max,,,,,,Apparent R'min,,,,,,Apparent R'bi,,,,,,Apparent anisotropy (R'bi/R'max),
mean:,7.602,,,,,mean:,4.229,,,,,mean:,3.373,,,,,mean:,0.430
mode:,7.550,,,,,mode:,3.550,,,,,mode:,2.950,,,,,mode:,0.537
s.d.:,1.431,,,,,s.d.:,1.442,,,,,s.d.:,1.801,,,,,s.d.:,0.192

Apparent R'max, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'min, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent R'bi, frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,Apparent anisotropy (R'bi/R'max), frequency (whole), frequency (binder excl), frequency %, cumulative probability, _,
6.100, 25472445, 24878905, 1.9732100893282811, 18.057808964688935,,6.100, 9935344, 9624876, 0.7633733812152561, 91.53871016314727 ,,6.100, 9645898, 9620794, 0.7630496050269633, 92.83747521683402 ,,0.238, 13974013, 6062798, 0.48085590641045456, 20.192454510495164 ,,
6.200, 26222548, 25662149, 2.0353311900441624, 20.093140154733096,,6.200, 8933924, 8651636, 0.6861832429180005, 92.22489340606528 ,,6.200, 9013517, 8990651, 0.7130713633911372, 93.55054658022516 ,,0.242, 13537336, 6113722, 0.4848948181766137, 20.677349328671777 ,,
6.300, 26818066, 26290104, 2.085135919860211, 22.17827607459331,,6.300, 8090316, 7829727, 0.6209955509018904, 92.84588895696716 ,,6.300, 8403914, 8383180, 0.6648912956529303, 94.21543787587808 ,,0.246, 13145523, 6163552, 0.48884696202445965, 21.166196290696238 ,,
6.400, 27431445, 26930413, 2.135920477262866, 24.314196551856174,,6.400, 7371718, 7132430, 0.5656911533593917, 93.41158011032655 ,,6.400, 7797076, 7778222, 0.6169105403267169, 94.83234841620481 ,,0.250, 12786961, 6213286, 0.4927914918685049, 21.658987782564743 ,,
6.500, 28005648, 27532992, 2.1837125711037064, 26.49790912295988,,6.500, 6740806, 6521478, 0.5172349972488898, 93.92881510757545 ,,6.500, 7216086, 7198943, 0.5709664517046745, 95.40331486790947 ,,0.254, 12467058, 6267052, 0.4970558098721831, 22.156043592436927 ,,
6.600, 28625266, 28178546, 2.2349131229771197, 28.732822245937,,6.600, 6178927, 5978526, 0.4741720939888805, 94.40298720156433 ,,6.600, 6647641, 6632335, 0.5260273322717963, 95.92934220018128 ,,0.258, 12165338, 6313313, 0.500724887266227, 22.656768479703153 ,,
6.700, 29238647, 28818420, 2.2856631794084157, 31.018485425345414,,6.700, 5679556, 5497923, 0.43605424840497936, 94.8390414499693 ,,6.700, 6099574, 6085414, 0.48264963880585665, 96.41199183898713 ,,0.262, 11896568, 6363572, 0.5047110561935577, 23.16147953589671 ,,
6.800, 29813773, 29420616, 2.3334248965319437, 33.35191032187736,,6.800, 5235582, 5070675, 0.40216812349516695, 95.24120957346447 ,,6.800, 5569882, 5557251, 0.44075968995757486, 96.85275152894471 ,,0.266, 11663255, 6419324, 0.5091328889008647, 23.670612424797575 ,,
6.900, 30384945, 30016115, 2.3806554573216934, 35.73256577919905,,6.900, 4826479, 4677107, 0.37095324499718674, 95.61216281846166 ,,6.900, 5068437, 5057031, 0.40108597140309926, 97.2538375003478 ,,0.270, 11443328, 6473470, 0.5134273456695878, 24.184039770467162 ,,
7.000, 30882404, 30535552, 2.4218533448159545, 38.15441912401501,,7.000, 4466476, 4330178, 0.34343742414176714, 95.95560024260342 ,,7.000, 4593826, 4584017, 0.36357002980075087, 97.61740753014855 ,,0.273, 11239793, 6518872, 0.5170282935921224, 24.701068064059285 ,,
7.100, 31313224, 30987766, 2.4577196028902346, 40.61213872690524,,7.100, 4132766, 4007880, 0.3178751505063546, 96.27347539310978 ,,7.100, 4132524, 4123811, 0.3270699232054908, 97.94447745335405 ,,0.277, 11054405, 6569723, 0.5210614155428914, 25.222129479602177 ,,
7.200, 31685407, 31379764, 2.488809974777442, 43.10094870168268,,7.200, 3823141, 3706925, 0.2940056444531195, 96.5674810375629 ,,7.200, 3700353, 3692740, 0.29288058745122997, 98.23735804080528 ,,0.281, 10891250, 6618036, 0.524893242268177, 25.747022721870355 ,,
7.300, 31952289, 31665442, 2.5114678333889495, 45.61241653507163,,7.300, 3540909, 3435039, 0.27244167468092806, 96.83992271224382 ,,7.300, 3294109, 3287411, 0.2607329150911343, 98.49809095589642 ,,0.285, 10741562, 6667805, 0.5288405480511079, 26.275863269921462 ,,
7.400, 32167645, 31898644, 2.529963685165848, 48.142380220237484,,7.400, 3279208, 3181699, 0.2523486353111665, 97.092271347555 ,,7.400, 2915691, 2910024, 0.2308013937123052, 98.72889234960871 ,,0.289, 10605041, 6718028, 0.5328238617270133, 26.808687131648476 ,,
7.500, 32226741, 31974003, 2.5359406017191164, 50.678320821956596,,7.500, 3032387, 2943205, 0.23343306993873456, 97.32570441749372 ,,7.500, 2559809, 2554830, 0.20263005552463098, 98.93152240513335 ,,0.293, 10479739, 6768780, 0.5368491317363627, 27.345536263384837 ,,
7.600, 32208363, 31971945, 2.535777376433926, 53.21409819839052,,7.600, 2809860, 2728901, 0.2164360749553234, 97.54214049244905 ,,7.600, 2237188, 2232950, 0.177100935280909, 99.10862334041425 ,,0.297, 10361738, 6813103, 0.5403645014286782, 27.885900764813517 ,,
7.700, 32111275, 31889306, 2.529223064314, 55.74332126270453,,7.700, 2602212, 2529468, 0.20061853678278985, 97.74275902923183 ,,7.700, 1938152, 1934530, 0.15343248721600433, 99.26205582763026 ,,0.301, 10263963, 6865452, 0.5445164335637552, 28.43041719837727 ,,
7.800, 31886173, 31678872, 2.5125330013093095, 58.255854264013834,,7.800, 2405982, 2340032, 0.18559388609182062, 97.92835291532366 ,,7.800, 1669374, 1666373, 0.1321642745367582, 99.39422010216703 ,,0.305, 10161414, 6906424, 0.5477660269358995, 28.97818322531317 ,,
7.900, 31546042, 31351610, 2.486577008461001, 60.74243127247483,,7.900, 2230486, 2171299, 0.1722112429562006, 98.10056415827987 ,,7.900, 1422118, 1419637, 0.1125950157681022, 99.50681511793512 ,,0.309, 10083197, 6961112, 0.552103471101081, 29.53028669641425 ,,
8.000, 31150818, 30967891, 2.456143265405711, 63.198574537880546,,8.000, 2062407, 2008108, 0.15926814992789573, 98.25983230820776 ,,8.000, 1202719, 1200748, 0.09523437328945158, 99.60204949122458 ,,0.312, 10006614, 7012635, 0.5561898910784555, 30.086476587492708 ,,
8.100, 30590622, 30420003, 2.4126888557593906, 65.61126339363993,,8.100, 1908044, 1859174, 0.14745581580973016, 98.40728812401748 ,,8.100, 1006961, 1005346, 0.07973654442818726, 99.68178603565276 ,,0.316, 9941419, 7060451, 0.5599822994715642, 30.646458886964272 ,,
8.200, 29951891, 29794943, 2.363113735856182, 67.97437712949612,,8.200, 1767698, 1723386, 0.1366861243676319, 98.54397424838513 ,,8.200, 836283, 834978, 0.06622422568305732, 99.74801026133582 ,,0.320, 9870352, 7100227, 0.5631370350463569, 31.209595922010628 ,,
8.300, 29252056, 29105729, 2.308450396834376, 70.2828275263305,,8.300, 1633121, 1593929, 0.12641856062842283, 98.67039280901355 ,,8.300, 687544, 686474, 0.05444599630355661, 99.80245625763938 ,,0.324, 9817083, 7156522, 0.5676019344626622, 31.77719785647329 ,,
8.400, 28423739, 28287119, 2.243524327490688, 72.52635185382118,,8.400, 1507405, 1472290, 0.1167710623419366, 98.78716387135547 ,,8.400, 558392, 557564, 0.044221816824812354, 99.84667807446418 ,,0.328, 9759932, 7195863, 0.5707221690827325, 32.34792002555602 ,,
8.500, 27519221, 27392928, 2.172603734201452, 74.69895558802264,,8.500, 1395000, 1363317, 0.10812813671139651, 98.89529200806687 ,,8.500, 448927, 448280, 0.03555422524809149, 99.88223229971227 ,,0.332, 9715972, 7248620, 0.574906460733963, 32.922826486289985 ,,
8.600, 26522797, 26407279, 2.094429371168339, 76.79338495919097,,8.600, 1285539, 1257751, 0.09975542891117449, 98.99504743697806 ,,8.600, 357081, 356654, 0.028287134495477873, 99.91051943420776 ,,0.336, 9670858, 7295293, 0.5786082148943185, 33.5014347011843 ,,
